sort_order,id,name,aliases,classification_group,faction,formal_class_code,technical_status,object_type,description,notes,source_url
1,agri-world,Agri World,Agricultural World,Imperial — formal class,Imperium,Alpha / α-class,Recognised classification,Planet or moon,"A world primarily dedicated to producing food, livestock, fibres or other agricultural resources for export.",,https://wh40k.lexicanum.com/wiki/Class_(world)
2,civilised-world,Civilised World,Civilized World,Imperial — formal class,Imperium,Gamma / γ-class,Recognised classification,Planet or moon,A broadly developed and self-sustaining Imperial world that does not fall into a more specialised primary class.,,https://wh40k.lexicanum.com/wiki/Class_(world)
3,dead-world,Dead World,,Imperial — formal class,General / Imperium,Delta / δ-class,Recognised classification,Planet or moon,"A lifeless or effectively uninhabitable world, often stripped, sterilised or ruined by ancient catastrophe.",,https://wh40k.lexicanum.com/wiki/Class_(world)
4,death-world,Death World,,Imperial — formal class,General / Imperium,Delta Tau / δτ-class,Recognised classification,Planet or moon,"A world whose climate, geology, fauna, flora or other hazards make ordinary human survival exceptionally difficult.",,https://wh40k.lexicanum.com/wiki/Class_(world)
5,cemetery-world,Cemetery World,Burial World,Imperial — formal class,Imperium,Epsilon / ε-class,Recognised classification,Planet or moon,"A world devoted largely to tombs, mausoleums, battle graves and the ritual care of the dead.",,https://wh40k.lexicanum.com/wiki/Class_(world)
6,hive-world,Hive World,,Imperial — formal class,Imperium,Eta / η-class,Recognised classification,Planet or moon,"A massively populated world whose inhabitants are concentrated in immense, layered hive cities.",,https://wh40k.lexicanum.com/wiki/Class_(world)
7,feudal-world,Feudal World,,Imperial — formal class,Imperium,Mu / μ-class,Recognised classification,Planet or moon,"A low-technology world whose societies are commonly organised around hereditary lords, warrior elites and agrarian domains.",,https://wh40k.lexicanum.com/wiki/Class_(world)
8,research-station,Research Station,,Imperial — formal class,Imperium,Rho / ρ-class,Recognised classification,"Planet, moon or station","A world, moon or installation primarily assigned to sanctioned scientific, medical or technological research.",,https://wh40k.lexicanum.com/wiki/Class_(world)
9,forge-world,Forge World,,Imperial — formal class,Adeptus Mechanicus,Phi / φ-class,Recognised classification,Planet or moon,"A Mechanicus-ruled industrial world dedicated to manufacturing, resource processing and the maintenance of sacred technology.",,https://wh40k.lexicanum.com/wiki/Class_(world)
10,feral-world,Feral World,,Imperial — formal class,Imperium,Phi Lambda / φλ-class,Recognised classification,Planet or moon,"A human world whose dominant cultures remain tribal, nomadic or otherwise technologically primitive.",,https://wh40k.lexicanum.com/wiki/Class_(world)
11,abattoir-world,Abattoir World,,Imperial — specialised role,Imperium,,Recognised classification,Planet or moon,"A world dedicated to the mass breeding, slaughter and processing of animals or other edible biomass.",,https://wh40k.lexicanum.com/wiki/Abattoir_World
12,sororitas-sanctuary-world,Adepta Sororitas Sanctuary World,Sororitas Sanctuary World,Imperial — institutional,Adepta Sororitas,,Recognised classification,Planet or moon,"A world serving as a protected religious, conventual or operational sanctuary of the Adepta Sororitas.",,https://wh40k.lexicanum.com/wiki/Sanctuary_World
13,astartes-breeding-world,Adeptus Astartes Breeding World,Breeding World,Imperial — Astartes,Adeptus Astartes,,Recognised classification,Planet or moon,A controlled population world used to cultivate physically suitable human stock for future Space Marine recruitment.,Rare and morally extreme; most closely associated with the Death Spectres.,https://wh40k.lexicanum.com/wiki/Class_(world)
14,astartes-fief-world,Adeptus Astartes Fief World,Chapter Fief; Astartes Fief World,Imperial — Astartes,Adeptus Astartes,,Recognised classification,Planet or moon,A world held as part of a Space Marine Chapter's protected domain or feudal territory.,,https://wh40k.lexicanum.com/wiki/Adeptus_Astartes_Fief_World
15,astartes-homeworld,Adeptus Astartes Homeworld,Chapter Homeworld,Imperial — Astartes,Adeptus Astartes,,Recognised classification,Planet or moon,The principal planetary base of a Space Marine Chapter and usually the site of its fortress-monastery.,,https://wh40k.lexicanum.com/wiki/Class_(world)
16,astartes-recruiting-world,Adeptus Astartes Recruiting World,Recruiting World,Imperial — Astartes,Adeptus Astartes,,Recognised classification,Planet or moon,A world from whose population a Space Marine Chapter regularly selects aspirants.,,https://wh40k.lexicanum.com/wiki/Class_(world)
17,mechanicus-world,Adeptus Mechanicus World,,Imperial — institutional,Adeptus Mechanicus,,Recognised classification,Planet or moon,A world controlled or dominated by the Adeptus Mechanicus without necessarily meeting the full definition of a Forge World.,,https://wh40k.lexicanum.com/wiki/Adeptus_Mechanicus_World
18,administratum-world,Administratum World,,Imperial — institutional,Adeptus Administratum,,Recognised classification,Planet or moon,"A world devoted primarily to bureaucracy, records, taxation, logistics and the administration of Imperial territory.",,https://wh40k.lexicanum.com/wiki/Administratum_World
19,anchor-world,Anchor World,,Imperial — strategic,Imperium,,Recognised classification,Planet or moon,A fortified fleet-support and logistics world used to sustain major Imperial war fronts or naval corridors.,,https://wh40k.lexicanum.com/wiki/Anchor_World
20,arboreal-world,Arboreal World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,"A world covered by cultivated or natural forests and exploited primarily for timber, resins or other arboreal resources.",,https://wh40k.lexicanum.com/wiki/Arboreal_World
21,archeotech-world,Archeotech World,,Imperial — relic/technology,Imperium / Adeptus Mechanicus,,Recognised classification,Planet or moon,"A world notable for extensive remains of ancient human technology, especially relics from the Dark Age of Technology.",,https://wh40k.lexicanum.com/wiki/Archeotech_World
22,archive-world,Archive World,,Imperial — institutional,Imperium,,Recognised classification,Planet or moon,"A world dedicated to preserving historical, legal, military or administrative records.",,https://wh40k.lexicanum.com/wiki/Archive_World
23,armoury-world,Armoury World,,Imperial — military industry,Imperium,,Recognised classification,Planet or moon,"A world used to manufacture, maintain or stockpile vast quantities of weapons, armour and military materiel.",,https://wh40k.lexicanum.com/wiki/Armoury_World
24,astropathic-relay-station,Astropathic Relay Station,,Imperial — communications,Adeptus Astra Telepathica,,Recognised classification,"Planet, moon or station","A planetary or orbital node used to receive, amplify and retransmit astropathic communications.",,https://wh40k.lexicanum.com/wiki/Astropathic_Relay_Station
25,battery-world,Battery World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,"A world dedicated to generating, storing or exporting immense quantities of usable energy.",,https://wh40k.lexicanum.com/wiki/Battery_World
26,capital-world,Capital World,,Imperial — government,Imperium,,Recognised classification,Planet or moon,"The administrative capital of a political territory, system, sub-sector or other Imperial jurisdiction.",,https://wh40k.lexicanum.com/wiki/Capital_World
27,cardinal-world,Cardinal World,,Imperial — Ecclesiarchy,Adeptus Ministorum,,Recognised classification,Planet or moon,A major centre of Ecclesiarchal authority ruled or overseen by a powerful cardinal.,,https://wh40k.lexicanum.com/wiki/Class_(world)
